Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Белгородская область;ЦФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; 1 235 597 ; 8 ; 1 005 000 ; 10 689 ; 94 ;;;
Белгородская область;ЦФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 120 ; 2 ;;;
Белгородская область;ЦФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; 1 ; 500 000 ; 131 ; 5 ;;;
Белгородская область;ЦФО;2021;      аэрокосмос;4; -   ; 218 850 ; -   ; -   ; 60 ; 8 ;;;
Белгородская область;ЦФО;2021;      сельское хозяйство;5; -   ; -   ; 2 ; 90 000 ; 3 166 ; 19 ;;;
Белгородская область;ЦФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 150 000 ; -   ; 100 000 ; 2 215 ; 35 ;;;
Белгородская область;ЦФО;2021;      другое;7; -   ; 866 747 ; 5 ; 315 000 ; 4 997 ; 25 ;;;
Белгородская область;ЦФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; 460 575 ;; 35 000 ; 2 479 ; 15 ;;;
Белгородская область;ЦФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 46 000 ; 356 860 ; 5 ; 160 000 ; 5 880 ; 37 ;;;
Белгородская область;ЦФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10;; 19 081 160 ; -   ; -   ; 666 ;;;;
Белгородская область;ЦФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11;; 272 664 ; 1 ; 252 570 ; 6 520 ; 35 ;;;
Белгородская область;ЦФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12;; 64 667 ;;; 448 ; 8 ;;;
Белгородская область;ЦФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13;; 9 030 563 ; 31 ; 2 756 480 ; 120 218 ; 919 ;;;
Белгородская область;ЦФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 1 188 035 ; 842 077 ; 7 ; 200 000 ; 23 695 ; 1 637 ;;;
Белгородская область;ЦФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 814 930 ; 535 916 ; 1 ; 56 000 ; 63 384 ;;;;
Белгородская область;ЦФО;2021;Формирование у молодeжи семейных ценностей;16;; 1 498 684 ; 4 ; 1 109 364 ; 34 753 ; 85 ;;;
Белгородская область;ЦФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; -   ; 5 408 539 ; -   ; -   ; 81 681 ; 345 ;61927;;
Белгородская область;ЦФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18;; 3 183 963 ;;; 59 066 ; 17 ;;;
Белгородская область;ЦФО;2021;      поисковых отрядов и объединений;19;; 41 121 ;;; 3 040 ;;;;
Белгородская область;ЦФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20;; 76 114 ;;; 6 216 ; 4 ;;;
Белгородская область;ЦФО;2021;      молодeжных казачьих объединений;21;; 87 166 ;;; 3 205 ; 2 ;;;
Белгородская область;ЦФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22;; 1 482 168 ;;; 8 954 ; 4 ;;;
